<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL2,5,20120124,100500,423.8700000,424.2500000,423.3300000,424.1300000,14060
AAPL2,5,20120124,101000,424.1400000,424.2600000,423.8000000,424.0100000,10937
AAPL2,5,20120124,101500,424.0100000,424.7500000,424.0000000,424.5700000,6850
AAPL2,5,20120124,102000,424.6000000,424.9900000,424.5400000,424.8900000,12804
AAPL2,5,20120124,102500,424.9000000,424.9100000,424.2600000,424.6500000,10335
AAPL2,5,20120124,103000,424.6000000,424.6000000,424.2100000,424.2700000,7209
AAPL2,5,20120124,103500,424.1400000,424.9200000,424.1000000,424.8000000,7743
AAPL2,5,20120124,104000,424.8400000,424.9200000,424.2000000,424.2000000,10936
AAPL2,5,20120124,104500,424.2300000,424.5600000,424.2100000,424.5300000,5184
AAPL2,5,20120124,105000,424.5600000,424.7300000,424.3050000,424.3300000,8614
AAPL2,5,20120124,105500,424.3800000,424.4600000,424.2500000,424.2500000,4829
AAPL2,5,20120124,110000,424.2100000,424.3300000,423.8800000,424.0700000,8524
AAPL2,5,20120124,110500,424.1900000,424.1900000,423.6600000,423.7350000,5093
AAPL2,5,20120124,111000,423.7050000,423.9900000,423.5400000,423.9800000,6035
AAPL2,5,20120124,111500,423.8950000,424.1450000,423.8950000,424.0500000,9754
AAPL2,5,20120124,112000,424.1300000,424.1300000,423.8100000,423.8300000,5505
AAPL2,5,20120124,112500,423.8100000,424.1400000,423.7700000,424.0200000,6090
AAPL2,5,20120124,113000,424.0300000,424.1400000,423.8900000,424.0600000,3644
AAPL2,5,20120124,113500,424.0400000,424.1300000,423.9500000,423.9900000,5246
AAPL2,5,20120124,114000,423.9600000,424.0300000,423.6000000,423.6000000,11113
AAPL2,5,20120124,114500,423.6200000,423.7000000,423.2100000,423.2900000,13382
AAPL2,5,20120124,115000,423.2600000,423.5700000,423.0700000,423.5100000,18980
AAPL2,5,20120124,115500,423.5000000,423.7100000,423.5000000,423.6200000,11438
AAPL2,5,20120124,120000,423.6000000,423.7500000,423.5200000,423.5800000,7396
AAPL2,5,20120124,120500,423.5850000,423.9500000,423.5000000,423.7600000,9344
AAPL2,5,20120124,121000,423.7600000,424.1100000,423.7600000,424.1000000,13130
AAPL2,5,20120124,121500,424.1400000,424.1400000,423.9700000,424.0600000,4116
AAPL2,5,20120124,122000,424.0700000,424.0800000,423.9300000,424.0500000,5669
AAPL2,5,20120124,122500,424.0200000,424.2800000,423.9700000,423.9900000,11406
