<TICKER>,<PER 5 min>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL,5,20120105,113500,177.2400000,177.3500000,177.2000000,177.3300000,34620
AAPL,5,20120105,114000,177.3300000,177.4000000,177.3000000,177.4000000,58130
AAPL,5,20120105,114500,177.4000000,177.5500000,177.3200000,177.5300000,169890
AAPL,5,20120105,115000,177.5300000,177.7500000,177.4800000,177.7400000,185580
AAPL,5,20120105,115500,177.7400000,178.0600000,177.7000000,178.0600000,426370
AAPL,5,20120105,120000,178.0600000,178.3500000,178.0300000,178.1200000,769540
AAPL,5,20120105,120500,178.1800000,178.2700000,177.8700000,178.1000000,742390
AAPL,5,20120105,121000,178.1000000,178.1300000,177.9000000,177.9800000,179260
AAPL,5,20120105,121500,177.9900000,177.9900000,177.7000000,177.7900000,122070
AAPL,5,20120105,122000,177.8800000,177.9300000,177.6800000,177.7200000,135660
AAPL,5,20120105,122500,177.7500000,177.9200000,177.3400000,177.4100000,284400
AAPL,5,20120105,123000,177.3500000,178.0000000,177.3400000,177.4300000,900100
AAPL,5,20120105,123500,177.4300000,177.5400000,177.0000000,177.5000000,1233180
AAPL,5,20120105,124000,177.4400000,177.6900000,177.4400000,177.5900000,488110
AAPL,5,20120105,124500,177.5600000,177.7000000,177.3400000,177.3400000,484640
AAPL,5,20120105,125000,177.3300000,177.4000000,176.7600000,176.8500000,803910
AAPL,5,20120105,125500,176.8300000,177.2000000,176.7600000,176.7600000,664260
AAPL,5,20120105,130000,176.8300000,177.2700000,176.7600000,177.1600000,390880
AAPL,5,20120105,130500,177.1300000,177.3200000,176.9000000,177.0500000,132700
AAPL,5,20120105,131000,177.1000000,177.2600000,176.9200000,177.2100000,163950
AAPL,5,20120105,131500,177.2600000,177.3100000,177.0000000,177.0900000,167290
AAPL,5,20120105,132000,177.0800000,177.3000000,177.0300000,177.1300000,148400
AAPL,5,20120105,132500,177.1300000,177.7000000,177.0900000,177.6100000,581540
AAPL,5,20120105,133000,177.6100000,177.6100000,177.3800000,177.5000000,106780
AAPL,5,20120105,133500,177.5200000,177.5300000,177.3300000,177.4500000,84470
AAPL,5,20120105,134000,177.4700000,177.6600000,177.4200000,177.4400000,73880
AAPL,5,20120105,134500,177.4400000,177.6700000,177.4200000,177.6100000,57150
AAPL,5,20120105,135000,177.5700000,177.6000000,177.3300000,177.3300000,98800
AAPL,5,20120105,135500,177.3300000,177.4800000,176.5700000,176.6300000,545020
AAPL,5,20120105,140000,176.6400000,176.7600000,176.5000000,176.5400000,237630
AAPL,5,20120105,140500,176.5400000,176.8700000,176.3600000,176.8000000,361000
AAPL,5,20120105,141000,176.7800000,176.8500000,176.4700000,176.7700000,169930
AAPL,5,20120105,141500,176.8000000,176.8600000,176.6000000,176.7400000,77370
AAPL,5,20120105,142000,176.6300000,176.8600000,176.5200000,176.8000000,123600
AAPL,5,20120105,142500,176.7600000,177.0000000,176.6700000,176.9700000,161460
AAPL,5,20120105,143000,176.9700000,177.3800000,176.9200000,177.2700000,250910
AAPL,5,20120105,143500,177.1700000,177.2000000,176.8000000,176.8500000,55750
AAPL,5,20120105,144000,176.8000000,176.8000000,176.2000000,176.3000000,276260
AAPL,5,20120105,144500,176.3000000,176.3500000,175.8000000,176.0000000,683070
AAPL,5,20120105,145000,176.0400000,176.0800000,175.5100000,175.7800000,358240
AAPL,5,20120105,145500,175.7900000,175.8500000,175.7200000,175.8100000,67980
AAPL,5,20120105,150000,175.8400000,175.9800000,175.5100000,175.6400000,179960
AAPL,5,20120105,150500,175.6500000,176.2700000,175.4000000,176.1800000,429270
AAPL,5,20120105,151000,176.1600000,176.6200000,176.0700000,176.5900000,270540
AAPL,5,20120105,151500,176.5200000,176.7600000,176.5200000,176.6100000,195510
AAPL,5,20120105,152000,176.6400000,176.6400000,176.2500000,176.3200000,112220
AAPL,5,20120105,152500,176.3800000,176.4700000,176.1200000,176.2100000,155340
AAPL,5,20120105,153000,176.1500000,176.2100000,176.0100000,176.2000000,44790
AAPL,5,20120105,153500,176.2100000,176.3400000,176.0100000,176.0100000,95770
AAPL,5,20120105,154000,176.0600000,176.1700000,175.8600000,176.0100000,286730
AAPL,5,20120105,154500,175.9900000,176.5000000,175.9000000,176.4700000,116000
AAPL,5,20120105,155000,176.4600000,176.6700000,176.2600000,176.5800000,158630
AAPL,5,20120105,155500,176.5800000,176.8000000,176.5700000,176.6800000,101060
AAPL,5,20120105,160000,176.6600000,177.1900000,176.5700000,177.1300000,311610
AAPL,5,20120105,160500,177.1500000,177.2000000,177.0000000,177.0000000,294660
AAPL,5,20120105,161000,177.0000000,177.3700000,177.0000000,177.2400000,183420
AAPL,5,20120105,161500,177.2700000,177.4200000,177.2100000,177.3000000,231280
AAPL,5,20120105,162000,177.2400000,177.3200000,176.9300000,177.0300000,214200
AAPL,5,20120105,162500,176.9600000,177.2000000,176.9500000,177.1100000,102870
AAPL,5,20120105,163000,177.1100000,177.1100000,176.8300000,176.9400000,179520
AAPL,5,20120105,163500,176.9300000,177.1000000,176.9000000,177.0000000,73730
AAPL,5,20120105,164000,177.0500000,177.1400000,177.0000000,177.1400000,24990
AAPL,5,20120105,164500,177.1000000,177.2900000,177.0600000,177.2000000,83210
AAPL,5,20120105,165000,177.2100000,177.2200000,177.0600000,177.1000000,208730
AAPL,5,20120105,165500,177.1000000,177.2200000,177.0600000,177.2200000,246970
AAPL,5,20120105,170000,177.2300000,177.3300000,177.2100000,177.3000000,182730
AAPL,5,20120105,170500,177.3000000,177.3200000,177.2100000,177.2100000,129100
AAPL,5,20120105,171000,177.2100000,177.7000000,177.2100000,177.6800000,817260
AAPL,5,20120105,171500,177.6900000,177.7900000,177.5400000,177.7900000,375440
AAPL,5,20120105,172000,177.7900000,178.2000000,177.5600000,177.6000000,2065340
AAPL,5,20120105,172500,177.6000000,178.2800000,177.5600000,178.0400000,1288170
AAPL,5,20120105,173000,178.1000000,178.2800000,178.0300000,178.2600000,516660
AAPL,5,20120105,173500,178.2600000,178.5500000,177.6700000,177.9100000,1409450
AAPL,5,20120105,174000,177.9100000,178.3500000,177.8900000,178.1100000,270460
AAPL,5,20120105,174500,178.1100000,178.4400000,178.1000000,178.3900000,391880
AAPL,5,20120105,175000,178.3900000,178.7200000,178.3900000,178.4900000,687350
AAPL,5,20120105,175500,178.4900000,178.5900000,178.3200000,178.3200000,362990
AAPL,5,20120105,180000,178.3500000,178.8200000,178.2100000,178.8200000,706600
AAPL,5,20120105,180500,178.8200000,179.3700000,178.6300000,178.7000000,2393260
AAPL,5,20120105,181000,178.7000000,178.7500000,178.3000000,178.4800000,712200
AAPL,5,20120105,181500,178.4000000,178.5500000,178.3700000,178.4900000,173070
AAPL,5,20120105,182000,178.5000000,178.5000000,178.1000000,178.1300000,314900
AAPL,5,20120105,182500,178.1900000,178.3000000,178.1300000,178.3000000,192830
AAPL,5,20120105,183000,178.2900000,178.3600000,178.1100000,178.2800000,137030
AAPL,5,20120105,183500,178.3000000,178.4500000,178.2000000,178.2500000,316920
AAPL,5,20120105,184000,178.3200000,178.3700000,178.0000000,178.1200000,570640
AAPL,5,20120105,184500,178.1200000,178.1600000,177.1200000,177.2000000,1455160
AAPL,5,20120106,100500,177.0000000,177.4900000,176.5400000,177.0100000,266180
AAPL,5,20120106,101000,177.0000000,177.5000000,176.8900000,177.4400000,204480
AAPL,5,20120106,101500,177.4400000,177.4700000,177.2000000,177.2000000,77610
AAPL,5,20120106,102000,177.2700000,177.4700000,177.2300000,177.3400000,33760
AAPL,5,20120106,102500,177.4000000,177.6900000,177.3100000,177.5600000,68660
AAPL,5,20120106,103000,177.6100000,177.8000000,177.5600000,177.7000000,200730
AAPL,5,20120106,103500,177.6500000,177.7000000,177.3600000,177.3700000,95810
AAPL,5,20120106,104000,177.3800000,177.4800000,177.3700000,177.4000000,116240
AAPL,5,20120106,104500,177.4000000,177.6900000,177.4000000,177.5400000,107690
AAPL,5,20120106,105000,177.5400000,177.5900000,177.3800000,177.3800000,65460
AAPL,5,20120106,105500,177.3800000,177.4500000,176.8000000,176.8200000,140340
AAPL,5,20120106,110000,176.8200000,177.2300000,176.7500000,177.1400000,158750
AAPL,5,20120106,110500,177.1400000,177.2000000,176.7600000,177.1000000,248870
AAPL,5,20120106,111000,177.0100000,177.3800000,176.9300000,177.2400000,122250
AAPL,5,20120106,111500,177.2300000,177.4900000,177.1000000,177.1200000,142610
AAPL,5,20120106,112000,177.1200000,177.5000000,177.1200000,177.2900000,158740
AAPL,5,20120106,112500,177.3000000,177.7000000,177.3000000,177.6600000,261700
AAPL,5,20120106,113000,177.5700000,177.7900000,177.3700000,177.6000000,114040
AAPL,5,20120106,113500,177.6000000,177.6600000,177.3600000,177.4900000,29810
AAPL,5,20120106,114000,177.5000000,177.5800000,177.2100000,177.2300000,27730
