close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Thu Jan 26 15:50:00 +0000 2012,Thu Jan 26 15:50:42 +0000 2012,Thu Jan 26 15:54:15 +0000 2012,0.1625,GOOGL,566.86,567.26,566.71,567.26,3400
Thu Jan 26 15:55:00 +0000 2012,Thu Jan 26 15:55:40 +0000 2012,Thu Jan 26 15:59:59 +0000 2012,0.00541666666666667,GOOGL,567.1,567.15,566.83,566.93,4982
Thu Jan 26 16:00:00 +0000 2012,Thu Jan 26 16:00:45 +0000 2012,Thu Jan 26 16:04:55 +0000 2012,0.0716919191919192,GOOGL,567.0,568.49,567.0,568.49,4140
Fri Jan 27 09:35:00 +0000 2012,Fri Jan 27 09:35:03 +0000 2012,Fri Jan 27 09:39:42 +0000 2012,0.0125,GOOGL,570.55,571.0,569.65,570.645,6834
Fri Jan 27 09:40:00 +0000 2012,Fri Jan 27 09:40:45 +0000 2012,Fri Jan 27 09:44:05 +0000 2012,0.2193055555555556,GOOGL,570.97,572.23,570.97,571.67,5242
Fri Jan 27 09:45:00 +0000 2012,Fri Jan 27 09:45:41 +0000 2012,Fri Jan 27 09:49:51 +0000 2012,0.039444444444444435,GOOGL,571.31,572.01,571.18,571.9,5497
Fri Jan 27 09:50:00 +0000 2012,Fri Jan 27 09:50:52 +0000 2012,Fri Jan 27 09:54:31 +0000 2012,0.325,GOOGL,572.0,574.36,571.82,574.36,14130
Fri Jan 27 09:55:00 +0000 2012,Fri Jan 27 09:56:22 +0000 2012,Fri Jan 27 09:58:51 +0000 2012,0.13749999999999998,GOOGL,574.42,574.48,573.44,573.75,7630
Fri Jan 27 10:00:00 +0000 2012,Fri Jan 27 10:01:50 +0000 2012,Fri Jan 27 10:04:27 +0000 2012,0.08087121212121212,GOOGL,573.67,574.25,573.41,574.2,17943
Fri Jan 27 10:05:00 +0000 2012,Fri Jan 27 10:06:44 +0000 2012,Fri Jan 27 10:07:49 +0000 2012,0.19015151515151515,GOOGL,574.275,574.43,573.65,573.85,8740
Fri Jan 27 10:10:00 +0000 2012,Fri Jan 27 10:12:45 +0000 2012,Fri Jan 27 10:12:45 +0000 2012,0.1,GOOGL,573.705,574.11,573.61,574.11,8764
Fri Jan 27 10:15:00 +0000 2012,Fri Jan 27 10:15:36 +0000 2012,Fri Jan 27 10:19:33 +0000 2012,0.05666666666666665,GOOGL,573.95,574.78,573.8,574.05,9110
Fri Jan 27 10:20:00 +0000 2012,Fri Jan 27 10:20:58 +0000 2012,Fri Jan 27 10:24:00 +0000 2012,0.2387962962962963,GOOGL,574.23,575.51,574.01,574.67,10164
Fri Jan 27 10:25:00 +0000 2012,Fri Jan 27 10:27:49 +0000 2012,Fri Jan 27 10:29:30 +0000 2012,0.177020202020202,GOOGL,574.73,574.95,574.45,574.85,7180
Fri Jan 27 10:30:00 +0000 2012,Fri Jan 27 10:30:30 +0000 2012,Fri Jan 27 10:34:40 +0000 2012,0.005885416666666657,GOOGL,574.85,575.26,574.69,575.22,3681
Fri Jan 27 10:35:00 +0000 2012,Fri Jan 27 10:35:53 +0000 2012,Fri Jan 27 10:39:55 +0000 2012,0.215,GOOGL,575.19,575.33,574.7,574.7,4610
Fri Jan 27 10:40:00 +0000 2012,Fri Jan 27 10:41:29 +0000 2012,Fri Jan 27 10:44:19 +0000 2012,0.0640625,GOOGL,574.2,574.5,574.15,574.3,6971
Fri Jan 27 10:45:00 +0000 2012,Fri Jan 27 10:46:03 +0000 2012,Fri Jan 27 10:47:25 +0000 2012,0.10625,GOOGL,574.0,574.17,573.65,574.04,7488
Fri Jan 27 10:50:00 +0000 2012,Fri Jan 27 10:51:07 +0000 2012,Fri Jan 27 10:54:34 +0000 2012,-0.13333333333333333,GOOGL,574.06,574.06,573.4,573.8,3900
Fri Jan 27 10:55:00 +0000 2012,Fri Jan 27 10:55:02 +0000 2012,Fri Jan 27 10:59:01 +0000 2012,0.22353535353535356,GOOGL,574.36,575.09,574.28,574.85,4860
