close_time,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Wed Jan 04 15:50:00 +0000 2012,AAPL2,413.8100000,413.8500000,413.3600000,413.8500000,18629
Wed Jan 04 15:55:00 +0000 2012,AAPL2,413.8600000,414.2400000,413.8500000,414.2150000,35732
Wed Jan 04 16:00:00 +0000 2012,AAPL2,414.2100000,414.3300000,413.2800000,413.4300000,21276
Thu Jan 05 09:35:00 +0000 2012,AAPL2,414.9900000,414.9900000,413.8800000,414.8000000,35810
Thu Jan 05 09:40:00 +0000 2012,AAPL2,414.8000000,415.6200000,414.5300000,415.0000000,46701
Thu Jan 05 09:45:00 +0000 2012,AAPL2,414.9000000,414.9000000,413.3000000,413.6000000,38568
Thu Jan 05 09:50:00 +0000 2012,AAPL2,413.5300000,413.6600000,412.7000000,413.3500000,41150
Thu Jan 05 09:55:00 +0000 2012,AAPL2,413.4600000,414.5500000,413.4400000,414.3000000,22621
Thu Jan 05 10:00:00 +0000 2012,AAPL2,414.2000000,414.5600000,413.8900000,414.5600000,24336
Thu Jan 05 10:05:00 +0000 2012,AAPL2,414.3700000,414.6300000,414.0100000,414.2500000,23770
Thu Jan 05 10:10:00 +0000 2012,AAPL2,414.2000000,414.6300000,413.9000000,414.4700000,21408
Thu Jan 05 10:15:00 +0000 2012,AAPL2,414.3800000,414.5400000,414.2150000,414.5300000,9707
Thu Jan 05 10:20:00 +0000 2012,AAPL2,414.4500000,415.2700000,414.4500000,414.7600000,24973
Thu Jan 05 10:25:00 +0000 2012,AAPL2,414.8400000,414.8500000,414.5000000,414.8400000,21229
Thu Jan 05 10:30:00 +0000 2012,AAPL2,414.7300000,415.3500000,414.7000000,414.8100000,22046
Thu Jan 05 10:35:00 +0000 2012,AAPL2,414.7600000,414.8600000,414.3400000,414.5300000,22524
Thu Jan 05 10:40:00 +0000 2012,AAPL2,414.5600000,414.5800000,414.1800000,414.2400000,21358
Thu Jan 05 10:45:00 +0000 2012,AAPL2,414.2800000,414.4800000,414.1200000,414.1300000,10540
Thu Jan 05 10:50:00 +0000 2012,AAPL2,414.1200000,414.3700000,414.0600000,414.0900000,12693
Thu Jan 05 10:55:00 +0000 2012,AAPL2,414.2400000,414.3500000,414.0600000,414.2100000,10048
Thu Jan 05 11:00:00 +0000 2012,AAPL2,414.1950000,414.5600000,414.1000000,414.5600000,6798
Thu Jan 05 11:05:00 +0000 2012,AAPL2,414.5100000,414.7300000,414.1900000,414.2900000,8431
Thu Jan 05 11:10:00 +0000 2012,AAPL2,414.2300000,414.5000000,414.2300000,414.4000000,4268
Thu Jan 05 11:15:00 +0000 2012,AAPL2,414.3300000,414.4500000,414.2500000,414.4500000,6709
Thu Jan 05 11:20:00 +0000 2012,AAPL2,414.3800000,414.5300000,414.2600000,414.2600000,6021
Thu Jan 05 11:25:00 +0000 2012,AAPL2,414.3100000,414.8200000,414.2900000,414.5500000,14576
Thu Jan 05 11:30:00 +0000 2012,AAPL2,414.5100000,414.7500000,414.5000000,414.6500000,15765
Thu Jan 05 11:35:00 +0000 2012,AAPL2,414.6600000,415.0600000,414.6600000,415.0600000,18253
Thu Jan 05 11:40:00 +0000 2012,AAPL2,415.0300000,415.2500000,414.8500000,415.1400000,12456
Thu Jan 05 11:45:00 +0000 2012,AAPL2,415.1400000,415.3600000,415.1400000,415.1800000,8436
Thu Jan 05 11:50:00 +0000 2012,AAPL2,415.1500000,415.3200000,415.1100000,415.1500000,7218
Thu Jan 05 11:55:00 +0000 2012,AAPL2,415.2500000,415.3500000,415.1800000,415.1900000,5400
Thu Jan 05 12:00:00 +0000 2012,AAPL2,415.1900000,415.2800000,415.1000000,415.1500000,5146
Thu Jan 05 12:05:00 +0000 2012,AAPL2,415.0600000,415.2700000,414.9500000,415.0600000,6535
