<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120105,101000,661.1000000,661.4500000,660.9300000,661.2200000,5803
GOOGL,5,20120105,101500,661.0800000,662.0000000,661.0400000,662.0000000,3404
GOOGL,5,20120105,102000,662.0300000,663.3800000,662.0300000,663.2100000,6855
GOOGL,5,20120105,102500,662.9700000,662.9700000,661.9100000,662.7900000,3026
GOOGL,5,20120105,103000,663.0700000,663.1200000,662.2800000,662.7500000,2700
GOOGL,5,20120105,103500,662.6600000,662.6600000,660.9000000,661.2700000,5968
GOOGL,5,20120105,104000,661.2300000,661.4000000,658.8600000,659.8500000,22832
GOOGL,5,20120105,104500,660.3100000,660.4300000,659.9000000,659.9600000,3518
GOOGL,5,20120105,105000,659.8900000,660.0100000,659.6700000,659.7600000,2396
GOOGL,5,20120105,105500,660.0000000,660.1700000,659.9000000,660.1300000,1500
GOOGL,5,20120105,110000,660.0200000,660.4100000,659.1100000,660.4100000,4665
GOOGL,5,20120105,110500,660.5100000,660.9900000,660.5100000,660.6800000,1800
GOOGL,5,20120105,111000,660.5000000,660.5900000,659.8400000,659.8400000,2320
GOOGL,5,20120105,111500,659.3200000,659.4000000,659.2200000,659.3100000,1500
GOOGL,5,20120105,112000,659.4600000,659.9600000,659.4600000,659.8100000,1422
GOOGL,5,20120105,112500,660.1000000,660.8900000,660.0200000,660.6200000,1345
GOOGL,5,20120105,113000,660.6900000,661.2200000,660.6900000,660.7800000,1900
GOOGL,5,20120105,113500,660.8800000,661.1100000,660.7000000,660.7300000,3310
GOOGL,5,20120105,114000,660.7600000,660.9000000,660.6100000,660.6900000,2700
GOOGL,5,20120105,114500,660.7100000,660.7400000,660.5100000,660.6200000,1924
GOOGL,5,20120105,115000,660.6100000,660.9100000,660.5550000,660.8500000,1868
GOOGL,5,20120105,115500,660.8400000,661.4500000,660.6800000,661.0500000,3192
GOOGL,5,20120105,120000,660.9000000,660.9100000,660.7600000,660.7600000,800
GOOGL,5,20120105,120500,660.7300000,661.1400000,660.5100000,660.5800000,2260
GOOGL,5,20120105,121000,660.6500000,660.6900000,660.2100000,660.2100000,3969
